Date,Amount,Category,Description
5/1/26,$12.50 ,Food,Campus lunch
5/1/26,$4.00 ,Food,Coffee
5/2/26,$8.99 ,Subscription,Spotify
5/2/26,$15.00 ,Transport,Bus fare
5/3/26,$25.00 ,Transport,Uber
5/3/26,$65.00 ,Shopping,SHEIN order
5/4/26,$18.50 ,Food,KFC
5/4/26,$6.50 ,Food,Bubble tea
5/5/26,($20.00),Refund,SHEIN refund
5/5/26,$10.00 ,Mobile Data,Airtime
5/6/26,$45.00 ,Groceries,Groceries
5/6/26,$5.00 ,Food,Snacks
5/7/26,$15.00 ,Education,Printing
5/7/26,$120.00 ,Education,Textbook
5/8/26,$18.00 ,Entertainment,Movies
5/8/26,$7.50 ,Food,McDonalds
5/9/26,$30.00 ,Beauty,Hair deposit
5/9/26,$9.99 ,Subscription,Netflix
5/10/26,$14.00 ,Food,Pizza
5/10/26,$80.00 ,Shopping,Shoes
5/11/26,$3.50 ,Food,Energy drink
5/11/26,$50.00 ,Transport,Fuel
5/12/26,$22.00 ,Entertainment,Bowling
5/12/26,$13.00 ,Food,Sushi
5/13/26,$40.00 ,Groceries,Weekly groceries
,,,
,,,
,,,
,,,
,,,
